set_id,category,design_language_tag,persona_frame,age_band,legacy_skin_and_hair_direction,outfit_frame,scene_frame,action_frame,composition_frame,lens_group,lens_frame,shot_1_full_body_prompt,shot_2_half_body_prompt,shot_3_macro_prompt,combination_key
set-001-ring,ring,oval elongated finger effect,stylish rich mom,40s,"olive skin, silver gray hair",Pilates outfit with refined layers,townhouse entrance,entering or exiting place,close detail crop,normal,standing-height phone photo,"Full-body candid image framework. Product DNA: ring; cushion-cut; 3-4ct; white gold; hidden halo; oval elongated finger effect; finger; elongated elegant profile; natural refraction, true metal reflection, physically plausible setting, clear individual stones. Persona direction: stylish rich mom, 40s, olive skin, silver gray hair. Outfit direction: Pilates outfit with refined layers. Scene frame: townhouse entrance. Action frame: entering or exiting place. Composition: close detail crop. Lens: standing-height phone photo. Low-AI feel: natural posture, not overly retouched, casually wealthy. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: ring; cushion-cut; 3-4ct; white gold; hidden halo; oval elongated finger effect; finger; elongated elegant profile; natural refraction, true metal reflection, physically plausible setting, clear individual stones. Persona direction: stylish rich mom, 40s, olive skin, silver gray hair. Outfit direction: Pilates outfit with refined layers. Scene frame: townhouse entrance. Action frame: entering or exiting place. Composition: close detail crop. Lens: standing-height phone photo. Low-AI feel: natural posture, not overly retouched, casually wealthy. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; cushion-cut; 3-4ct; white gold; hidden halo; oval elongated finger effect; finger; elongated elegant profile; natural refraction, true metal reflection, physically plausible setting, clear individual stones|stylish rich mom|40s|olive skin, silver gray hair|Pilates outfit with refined layers|townhouse entrance|entering or exiting place|close detail crop|standing-height phone photo"
set-002-necklace,necklace,delicate V contour,downtown cool girl with high-end taste,elegant older woman,"tan skin, dark ponytail",mature elegant evening look,members club lounge,walking through doorway,mirror-frame composition,normal,friend-taken eye-level shot,"Full-body candid image framework. Product DNA: necklace; station-set diamonds; statement dinner scale; yellow gold; station setting; delicate V contour; neck / collarbone; soft V shape; controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets. Persona direction: downtown cool girl with high-end taste, elegant older woman, tan skin, dark ponytail. Outfit direction: mature elegant evening look. Scene frame: members club lounge. Action frame: walking through doorway. Composition: mirror-frame composition. Lens: friend-taken eye-level shot. Low-AI feel: phone camera look, imperfect composition, real skin texture. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: necklace; station-set diamonds; statement dinner scale; yellow gold; station setting; delicate V contour; neck / collarbone; soft V shape; controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets. Persona direction: downtown cool girl with high-end taste, elegant older woman, tan skin, dark ponytail. Outfit direction: mature elegant evening look. Scene frame: members club lounge. Action frame: walking through doorway. Composition: mirror-frame composition. Lens: friend-taken eye-level shot. Low-AI feel: phone camera look, imperfect composition, real skin texture. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","necklace|necklace; station-set diamonds; statement dinner scale; yellow gold; station setting; delicate V contour; neck / collarbone; soft V shape; controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets|downtown cool girl with high-end taste|elegant older woman|tan skin, dark ponytail|mature elegant evening look|members club lounge|walking through doorway|mirror-frame composition|friend-taken eye-level shot"
set-003-ring,ring,emerald-cut architecture,luxury travel shopper,late 20s,"dark espresso skin, sleek short hair",art gallery neutral outfit,bridal shower setting,body slightly turns,hand naturally enters frame,normal,normal 35mm perspective,"Full-body candid image framework. Product DNA: ring; marquise-cut; 2-3ct; platinum; six-prong solitaire; emerald-cut architecture; finger; clean center-stone profile; true metal reflection, physically plausible setting, clear individual stones, natural refraction. Persona direction: luxury travel shopper, late 20s, dark espresso skin, sleek short hair. Outfit direction: art gallery neutral outfit. Scene frame: bridal shower setting. Action frame: body slightly turns. Composition: hand naturally enters frame. Lens: normal 35mm perspective. Low-AI feel: normal background clutter, relaxed expression, natural posture. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: ring; marquise-cut; 2-3ct; platinum; six-prong solitaire; emerald-cut architecture; finger; clean center-stone profile; true metal reflection, physically plausible setting, clear individual stones, natural refraction. Persona direction: luxury travel shopper, late 20s, dark espresso skin, sleek short hair. Outfit direction: art gallery neutral outfit. Scene frame: bridal shower setting. Action frame: body slightly turns. Composition: hand naturally enters frame. Lens: normal 35mm perspective. Low-AI feel: normal background clutter, relaxed expression, natural posture. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; marquise-cut; 2-3ct; platinum; six-prong solitaire; emerald-cut architecture; finger; clean center-stone profile; true metal reflection, physically plausible setting, clear individual stones, natural refraction|luxury travel shopper|late 20s|dark espresso skin, sleek short hair|art gallery neutral outfit|bridal shower setting|body slightly turns|hand naturally enters frame|normal 35mm perspective"
set-004-earrings,earrings,side-profile diamond accent,wealthy customer,50s,"dark skin, sculpted curls",minimal monochrome outfit,upscale cafe street-side,stepping into light,over-the-table framing,normal,50mm shallow depth of field,"Full-body candid image framework. Product DNA: earrings; geometric diamond accents; medium visible scale; platinum; cluster setting; side-profile diamond accent; ears / earlobe; minimal hoop outline; clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle. Persona direction: wealthy customer, 50s, dark skin, sculpted curls. Outfit direction: minimal monochrome outfit. Scene frame: upscale cafe street-side. Action frame: stepping into light. Composition: over-the-table framing. Lens: 50mm shallow depth of field. Low-AI feel: not overly retouched, casually wealthy, phone camera look. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: earrings; geometric diamond accents; medium visible scale; platinum; cluster setting; side-profile diamond accent; ears / earlobe; minimal hoop outline; clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle. Persona direction: wealthy customer, 50s, dark skin, sculpted curls. Outfit direction: minimal monochrome outfit. Scene frame: upscale cafe street-side. Action frame: stepping into light. Composition: over-the-table framing. Lens: 50mm shallow depth of field. Low-AI feel: not overly retouched, casually wealthy, phone camera look. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","earrings|earrings; geometric diamond accents; medium visible scale; platinum; cluster setting; side-profile diamond accent; ears / earlobe; minimal hoop outline; clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle|wealthy customer|50s|dark skin, sculpted curls|minimal monochrome outfit|upscale cafe street-side|stepping into light|over-the-table framing|50mm shallow depth of field"
set-005-ring,ring,pear-shaped elegance,elegant older wealthy woman,mature adult,"tan skin, honey blonde hair",high-end minimalist dress,yoga studio with luxury lifestyle feel,looking away naturally,street-style vertical crop,mild,slight high angle,"Full-body candid image framework. Product DNA: ring; cushion-cut; 6-8ct; rose gold; knife-edge band; pear-shaped elegance; finger; bold statement profile; physically plausible setting, clear individual stones, natural refraction, true metal reflection. Persona direction: elegant older wealthy woman, mature adult, tan skin, honey blonde hair. Outfit direction: high-end minimalist dress. Scene frame: yoga studio with luxury lifestyle feel. Action frame: looking away naturally. Composition: street-style vertical crop. Lens: slight high angle. Low-AI feel: imperfect composition, real skin texture, normal background clutter. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: ring; cushion-cut; 6-8ct; rose gold; knife-edge band; pear-shaped elegance; finger; bold statement profile; physically plausible setting, clear individual stones, natural refraction, true metal reflection. Persona direction: elegant older wealthy woman, mature adult, tan skin, honey blonde hair. Outfit direction: high-end minimalist dress. Scene frame: yoga studio with luxury lifestyle feel. Action frame: looking away naturally. Composition: street-style vertical crop. Lens: slight high angle. Low-AI feel: imperfect composition, real skin texture, normal background clutter. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; cushion-cut; 6-8ct; rose gold; knife-edge band; pear-shaped elegance; finger; bold statement profile; physically plausible setting, clear individual stones, natural refraction, true metal reflection|elegant older wealthy woman|mature adult|tan skin, honey blonde hair|high-end minimalist dress|yoga studio with luxury lifestyle feel|looking away naturally|street-style vertical crop|slight high angle"
set-006-bracelet,bracelet,refined bangle,art collector socialite,30s,"light skin, shoulder-length bob",yoga set with expensive coat,museum gala or collector preview,adjusting bag or sleeve,social media crop,normal,85mm half-body portrait,"Full-body candid image framework. Product DNA: bracelet; single diamond accent; delicate wrist scale; yellow gold; diamond bangle; refined bangle; wrist; rigid bangle curve; not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs. Persona direction: art collector socialite, 30s, light skin, shoulder-length bob. Outfit direction: yoga set with expensive coat. Scene frame: museum gala or collector preview. Action frame: adjusting bag or sleeve. Composition: social media crop. Lens: 85mm half-body portrait. Low-AI feel: relaxed expression, natural posture, not overly retouched. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: bracelet; single diamond accent; delicate wrist scale; yellow gold; diamond bangle; refined bangle; wrist; rigid bangle curve; not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs. Persona direction: art collector socialite, 30s, light skin, shoulder-length bob. Outfit direction: yoga set with expensive coat. Scene frame: museum gala or collector preview. Action frame: adjusting bag or sleeve. Composition: social media crop. Lens: 85mm half-body portrait. Low-AI feel: relaxed expression, natural posture, not overly retouched. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","bracelet|bracelet; single diamond accent; delicate wrist scale; yellow gold; diamond bangle; refined bangle; wrist; rigid bangle curve; not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs|art collector socialite|30s|light skin, shoulder-length bob|yoga set with expensive coat|museum gala or collector preview|adjusting bag or sleeve|social media crop|85mm half-body portrait"
set-007-ring,ring,cushion-cut softness,lifestyle KOL,60s,"light olive skin, dark blonde hair",private dinner outfit,high-end hotel lobby or corridor,photo-taking or selfie frame,half-body natural crop,normal,mirror selfie perspective,"Full-body candid image framework. Product DNA: ring; marquise-cut; 5-6ct; yellow gold; tapered side stones; cushion-cut softness; finger; soft romantic profile; clear individual stones, natural refraction, true metal reflection, physically plausible setting. Persona direction: lifestyle KOL, 60s, light olive skin, dark blonde hair. Outfit direction: private dinner outfit. Scene frame: high-end hotel lobby or corridor. Action frame: photo-taking or selfie frame. Composition: half-body natural crop. Lens: mirror selfie perspective. Low-AI feel: casually wealthy, phone camera look, imperfect composition. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: ring; marquise-cut; 5-6ct; yellow gold; tapered side stones; cushion-cut softness; finger; soft romantic profile; clear individual stones, natural refraction, true metal reflection, physically plausible setting. Persona direction: lifestyle KOL, 60s, light olive skin, dark blonde hair. Outfit direction: private dinner outfit. Scene frame: high-end hotel lobby or corridor. Action frame: photo-taking or selfie frame. Composition: half-body natural crop. Lens: mirror selfie perspective. Low-AI feel: casually wealthy, phone camera look, imperfect composition. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; marquise-cut; 5-6ct; yellow gold; tapered side stones; cushion-cut softness; finger; soft romantic profile; clear individual stones, natural refraction, true metal reflection, physically plausible setting|lifestyle KOL|60s|light olive skin, dark blonde hair|private dinner outfit|high-end hotel lobby or corridor|photo-taking or selfie frame|half-body natural crop|mirror selfie perspective"
set-008-necklace,necklace,solitaire pendant,wedding guest with money,young adult,"warm tan skin, copper hair",wedding guest outfit,wine bar social setting,casual laughing moment,layered foreground object,normal,seated across-the-table shot,"Full-body candid image framework. Product DNA: necklace; single pendant stone; statement dinner scale; white gold; delicate V contour; solitaire pendant; neck / collarbone; collarbone line; realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones. Persona direction: wedding guest with money, young adult, warm tan skin, copper hair. Outfit direction: wedding guest outfit. Scene frame: wine bar social setting. Action frame: casual laughing moment. Composition: layered foreground object. Lens: seated across-the-table shot. Low-AI feel: real skin texture, normal background clutter, relaxed expression. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: necklace; single pendant stone; statement dinner scale; white gold; delicate V contour; solitaire pendant; neck / collarbone; collarbone line; realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones. Persona direction: wedding guest with money, young adult, warm tan skin, copper hair. Outfit direction: wedding guest outfit. Scene frame: wine bar social setting. Action frame: casual laughing moment. Composition: layered foreground object. Lens: seated across-the-table shot. Low-AI feel: real skin texture, normal background clutter, relaxed expression. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","necklace|necklace; single pendant stone; statement dinner scale; white gold; delicate V contour; solitaire pendant; neck / collarbone; collarbone line; realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones|wedding guest with money|young adult|warm tan skin, copper hair|wedding guest outfit|wine bar social setting|casual laughing moment|layered foreground object|seated across-the-table shot"
set-009-ring,ring,platinum high-jewelry setting,young high-income trendsetter,40s,"warm beige skin, short curls",travel lounge cashmere set,hotel elevator mirror area,vehicle transition,table-level candid crop,normal,normal handheld camera angle,"Full-body candid image framework. Product DNA: ring; cushion-cut; 4-5ct; white gold; bezel detail; platinum high-jewelry setting; finger; architectural center profile; natural refraction, true metal reflection, physically plausible setting, clear individual stones. Persona direction: young high-income trendsetter, 40s, warm beige skin, short curls. Outfit direction: travel lounge cashmere set. Scene frame: hotel elevator mirror area. Action frame: vehicle transition. Composition: table-level candid crop. Lens: normal handheld camera angle. Low-AI feel: natural posture, not overly retouched, casually wealthy. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: ring; cushion-cut; 4-5ct; white gold; bezel detail; platinum high-jewelry setting; finger; architectural center profile; natural refraction, true metal reflection, physically plausible setting, clear individual stones. Persona direction: young high-income trendsetter, 40s, warm beige skin, short curls. Outfit direction: travel lounge cashmere set. Scene frame: hotel elevator mirror area. Action frame: vehicle transition. Composition: table-level candid crop. Lens: normal handheld camera angle. Low-AI feel: natural posture, not overly retouched, casually wealthy. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; cushion-cut; 4-5ct; white gold; bezel detail; platinum high-jewelry setting; finger; architectural center profile; natural refraction, true metal reflection, physically plausible setting, clear individual stones|young high-income trendsetter|40s|warm beige skin, short curls|travel lounge cashmere set|hotel elevator mirror area|vehicle transition|table-level candid crop|normal handheld camera angle"
set-010-ring,ring,platinum high-jewelry setting,fashion content creator,elegant older woman,"fair skin, auburn hair",old-money knitwear,quiet office-to-dinner transition,travel lounge pause,real background clutter remains,mild,slight low angle,"Full-body candid image framework. Product DNA: ring; round brilliant; 2-3ct; rose gold; cathedral profile; platinum high-jewelry setting; finger; clean center-stone profile; controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets. Persona direction: fashion content creator, elegant older woman, fair skin, auburn hair. Outfit direction: old-money knitwear. Scene frame: quiet office-to-dinner transition. Action frame: travel lounge pause. Composition: real background clutter remains. Lens: slight low angle. Low-AI feel: phone camera look, imperfect composition, real skin texture. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: ring; round brilliant; 2-3ct; rose gold; cathedral profile; platinum high-jewelry setting; finger; clean center-stone profile; controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets. Persona direction: fashion content creator, elegant older woman, fair skin, auburn hair. Outfit direction: old-money knitwear. Scene frame: quiet office-to-dinner transition. Action frame: travel lounge pause. Composition: real background clutter remains. Lens: slight low angle. Low-AI feel: phone camera look, imperfect composition, real skin texture. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; round brilliant; 2-3ct; rose gold; cathedral profile; platinum high-jewelry setting; finger; clean center-stone profile; controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets|fashion content creator|elegant older woman|fair skin, auburn hair|old-money knitwear|quiet office-to-dinner transition|travel lounge pause|real background clutter remains|slight low angle"
