set_id,category,design_language_tag,persona_frame,age_band,legacy_skin_and_hair_direction,outfit_frame,scene_frame,action_frame,composition_frame,lens_group,lens_frame,shot_1_full_body_prompt,shot_2_half_body_prompt,shot_3_macro_prompt,combination_key
set-001-ring,ring,oval elongated finger effect,stylish rich mom,40s,"medium skin, loose waves",luxury athleisure,airport lounge,arriving or leaving,balanced social-media crop,normal,standing-height phone photo,"Full-body candid framework. Product DNA: ring; cushion-cut; 3-4ct; white gold; hidden halo; oval elongated finger effect; wearing area: finger; silhouette: elongated elegant profile; texture: natural refraction, true metal reflection, physically plausible setting, clear individual stones. Persona direction: stylish rich mom, 40s, medium skin, loose waves. Outfit direction: luxury athleisure. Scene frame: airport lounge. Action frame: arriving or leaving. Composition frame: balanced social-media crop. Lens frame: standing-height phone photo. Low-AI feel: natural posture, not overly retouched, casually wealthy. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: ring; cushion-cut; 3-4ct; white gold; hidden halo; oval elongated finger effect; wearing area: finger; silhouette: elongated elegant profile; texture: natural refraction, true metal reflection, physically plausible setting, clear individual stones. Persona direction: stylish rich mom, 40s, medium skin, loose waves. Outfit direction: luxury athleisure. Scene frame: airport lounge. Action frame: arriving or leaving. Composition frame: balanced social-media crop. Lens frame: standing-height phone photo. Low-AI feel: natural posture, not overly retouched, casually wealthy. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: ring; cushion-cut; 3-4ct; white gold; hidden halo; oval elongated finger effect; wearing area: finger; silhouette: elongated elegant profile; texture: natural refraction, true metal reflection, physically plausible setting, clear individual stones. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; cushion-cut; 3-4ct; white gold; hidden halo; oval elongated finger effect; wearing area: finger; silhouette: elongated elegant profile; texture: natural refraction, true metal reflection, physically plausible setting, clear individual stones|stylish rich mom|40s|medium skin, loose waves|luxury athleisure|airport lounge|arriving or leaving|balanced social-media crop|standing-height phone photo"
set-002-necklace,necklace,delicate V contour,Pilates lifestyle creator,30s,"light olive skin, dark blonde hair",luxury athleisure,townhouse entrance,stepping into light,street-style vertical framing,normal,friend-taken eye-level shot,"Full-body candid framework. Product DNA: necklace; station-set diamonds; statement dinner scale; yellow gold; station setting; delicate V contour; wearing area: neck / collarbone; silhouette: soft V shape; texture: controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets. Persona direction: Pilates lifestyle creator, 30s, light olive skin, dark blonde hair. Outfit direction: luxury athleisure. Scene frame: townhouse entrance. Action frame: stepping into light. Composition frame: street-style vertical framing. Lens frame: friend-taken eye-level shot. Low-AI feel: phone camera look, imperfect composition, real skin texture. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: necklace; station-set diamonds; statement dinner scale; yellow gold; station setting; delicate V contour; wearing area: neck / collarbone; silhouette: soft V shape; texture: controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets. Persona direction: Pilates lifestyle creator, 30s, light olive skin, dark blonde hair. Outfit direction: luxury athleisure. Scene frame: townhouse entrance. Action frame: stepping into light. Composition frame: street-style vertical framing. Lens frame: friend-taken eye-level shot. Low-AI feel: phone camera look, imperfect composition, real skin texture. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: necklace; station-set diamonds; statement dinner scale; yellow gold; station setting; delicate V contour; wearing area: neck / collarbone; silhouette: soft V shape; texture: controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","necklace|necklace; station-set diamonds; statement dinner scale; yellow gold; station setting; delicate V contour; wearing area: neck / collarbone; silhouette: soft V shape; texture: controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets|Pilates lifestyle creator|30s|light olive skin, dark blonde hair|luxury athleisure|townhouse entrance|stepping into light|street-style vertical framing|friend-taken eye-level shot"
set-003-ring,ring,emerald-cut architecture,lifestyle KOL,late 20s,"tan skin, dark ponytail",yoga set with expensive coat,yoga studio with luxury lifestyle feel,subtle body turn,mirror-frame composition,normal,normal 35mm perspective,"Full-body candid framework. Product DNA: ring; marquise-cut; 2-3ct; platinum; six-prong solitaire; emerald-cut architecture; wearing area: finger; silhouette: clean center-stone profile; texture: true metal reflection, physically plausible setting, clear individual stones, natural refraction. Persona direction: lifestyle KOL, late 20s, tan skin, dark ponytail. Outfit direction: yoga set with expensive coat. Scene frame: yoga studio with luxury lifestyle feel. Action frame: subtle body turn. Composition frame: mirror-frame composition. Lens frame: normal 35mm perspective. Low-AI feel: normal background clutter, relaxed expression, natural posture. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: ring; marquise-cut; 2-3ct; platinum; six-prong solitaire; emerald-cut architecture; wearing area: finger; silhouette: clean center-stone profile; texture: true metal reflection, physically plausible setting, clear individual stones, natural refraction. Persona direction: lifestyle KOL, late 20s, tan skin, dark ponytail. Outfit direction: yoga set with expensive coat. Scene frame: yoga studio with luxury lifestyle feel. Action frame: subtle body turn. Composition frame: mirror-frame composition. Lens frame: normal 35mm perspective. Low-AI feel: normal background clutter, relaxed expression, natural posture. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: ring; marquise-cut; 2-3ct; platinum; six-prong solitaire; emerald-cut architecture; wearing area: finger; silhouette: clean center-stone profile; texture: true metal reflection, physically plausible setting, clear individual stones, natural refraction. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; marquise-cut; 2-3ct; platinum; six-prong solitaire; emerald-cut architecture; wearing area: finger; silhouette: clean center-stone profile; texture: true metal reflection, physically plausible setting, clear individual stones, natural refraction|lifestyle KOL|late 20s|tan skin, dark ponytail|yoga set with expensive coat|yoga studio with luxury lifestyle feel|subtle body turn|mirror-frame composition|normal 35mm perspective"
set-004-earrings,earrings,side-profile diamond accent,wedding guest with money,late 20s,"deep brown skin, natural curls",wedding guest outfit,outdoor wedding guest moment,walking through doorway,normal background clutter,normal,50mm shallow depth of field,"Full-body candid framework. Product DNA: earrings; geometric diamond accents; medium visible scale; platinum; cluster setting; side-profile diamond accent; wearing area: ears / earlobe; silhouette: minimal hoop outline; texture: clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle. Persona direction: wedding guest with money, late 20s, deep brown skin, natural curls. Outfit direction: wedding guest outfit. Scene frame: outdoor wedding guest moment. Action frame: walking through doorway. Composition frame: normal background clutter. Lens frame: 50mm shallow depth of field. Low-AI feel: not overly retouched, casually wealthy, phone camera look. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: earrings; geometric diamond accents; medium visible scale; platinum; cluster setting; side-profile diamond accent; wearing area: ears / earlobe; silhouette: minimal hoop outline; texture: clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle. Persona direction: wedding guest with money, late 20s, deep brown skin, natural curls. Outfit direction: wedding guest outfit. Scene frame: outdoor wedding guest moment. Action frame: walking through doorway. Composition frame: normal background clutter. Lens frame: 50mm shallow depth of field. Low-AI feel: not overly retouched, casually wealthy, phone camera look. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: earrings; geometric diamond accents; medium visible scale; platinum; cluster setting; side-profile diamond accent; wearing area: ears / earlobe; silhouette: minimal hoop outline; texture: clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","earrings|earrings; geometric diamond accents; medium visible scale; platinum; cluster setting; side-profile diamond accent; wearing area: ears / earlobe; silhouette: minimal hoop outline; texture: clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle|wedding guest with money|late 20s|deep brown skin, natural curls|wedding guest outfit|outdoor wedding guest moment|walking through doorway|normal background clutter|50mm shallow depth of field"
set-005-ring,ring,pear-shaped elegance,affluent influencer,late 20s,"tan skin, honey blonde hair",designer-level blazer styling,upscale cafe street-side,looking away from camera,natural vertical social crop,mild,slight high angle,"Full-body candid framework. Product DNA: ring; cushion-cut; 6-8ct; rose gold; knife-edge band; pear-shaped elegance; wearing area: finger; silhouette: bold statement profile; texture: physically plausible setting, clear individual stones, natural refraction, true metal reflection. Persona direction: affluent influencer, late 20s, tan skin, honey blonde hair. Outfit direction: designer-level blazer styling. Scene frame: upscale cafe street-side. Action frame: looking away from camera. Composition frame: natural vertical social crop. Lens frame: slight high angle. Low-AI feel: imperfect composition, real skin texture, normal background clutter. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: ring; cushion-cut; 6-8ct; rose gold; knife-edge band; pear-shaped elegance; wearing area: finger; silhouette: bold statement profile; texture: physically plausible setting, clear individual stones, natural refraction, true metal reflection. Persona direction: affluent influencer, late 20s, tan skin, honey blonde hair. Outfit direction: designer-level blazer styling. Scene frame: upscale cafe street-side. Action frame: looking away from camera. Composition frame: natural vertical social crop. Lens frame: slight high angle. Low-AI feel: imperfect composition, real skin texture, normal background clutter. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: ring; cushion-cut; 6-8ct; rose gold; knife-edge band; pear-shaped elegance; wearing area: finger; silhouette: bold statement profile; texture: physically plausible setting, clear individual stones, natural refraction, true metal reflection. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; cushion-cut; 6-8ct; rose gold; knife-edge band; pear-shaped elegance; wearing area: finger; silhouette: bold statement profile; texture: physically plausible setting, clear individual stones, natural refraction, true metal reflection|affluent influencer|late 20s|tan skin, honey blonde hair|designer-level blazer styling|upscale cafe street-side|looking away from camera|natural vertical social crop|slight high angle"
set-006-bracelet,bracelet,refined bangle,mature luxury shopper,50s,"olive skin, silver gray hair",cashmere sweater,members club lounge,bag or sleeve adjustment,natural imperfect crop,normal,85mm half-body portrait,"Full-body candid framework. Product DNA: bracelet; single diamond accent; delicate wrist scale; yellow gold; diamond bangle; refined bangle; wearing area: wrist; silhouette: rigid bangle curve; texture: not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs. Persona direction: mature luxury shopper, 50s, olive skin, silver gray hair. Outfit direction: cashmere sweater. Scene frame: members club lounge. Action frame: bag or sleeve adjustment. Composition frame: natural imperfect crop. Lens frame: 85mm half-body portrait. Low-AI feel: relaxed expression, natural posture, not overly retouched. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: bracelet; single diamond accent; delicate wrist scale; yellow gold; diamond bangle; refined bangle; wearing area: wrist; silhouette: rigid bangle curve; texture: not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs. Persona direction: mature luxury shopper, 50s, olive skin, silver gray hair. Outfit direction: cashmere sweater. Scene frame: members club lounge. Action frame: bag or sleeve adjustment. Composition frame: natural imperfect crop. Lens frame: 85mm half-body portrait. Low-AI feel: relaxed expression, natural posture, not overly retouched. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: bracelet; single diamond accent; delicate wrist scale; yellow gold; diamond bangle; refined bangle; wearing area: wrist; silhouette: rigid bangle curve; texture: not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","bracelet|bracelet; single diamond accent; delicate wrist scale; yellow gold; diamond bangle; refined bangle; wearing area: wrist; silhouette: rigid bangle curve; texture: not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs|mature luxury shopper|50s|olive skin, silver gray hair|cashmere sweater|members club lounge|bag or sleeve adjustment|natural imperfect crop|85mm half-body portrait"
set-007-ring,ring,cushion-cut softness,luxury travel shopper,40s,"warm tan skin, copper hair",travel lounge cashmere set,hotel breakfast lounge,casual phone/selfie behavior,soft foreground layering,normal,mirror selfie perspective,"Full-body candid framework. Product DNA: ring; marquise-cut; 5-6ct; yellow gold; tapered side stones; cushion-cut softness; wearing area: finger; silhouette: soft romantic profile; texture: clear individual stones, natural refraction, true metal reflection, physically plausible setting. Persona direction: luxury travel shopper, 40s, warm tan skin, copper hair. Outfit direction: travel lounge cashmere set. Scene frame: hotel breakfast lounge. Action frame: casual phone/selfie behavior. Composition frame: soft foreground layering. Lens frame: mirror selfie perspective. Low-AI feel: casually wealthy, phone camera look, imperfect composition. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: ring; marquise-cut; 5-6ct; yellow gold; tapered side stones; cushion-cut softness; wearing area: finger; silhouette: soft romantic profile; texture: clear individual stones, natural refraction, true metal reflection, physically plausible setting. Persona direction: luxury travel shopper, 40s, warm tan skin, copper hair. Outfit direction: travel lounge cashmere set. Scene frame: hotel breakfast lounge. Action frame: casual phone/selfie behavior. Composition frame: soft foreground layering. Lens frame: mirror selfie perspective. Low-AI feel: casually wealthy, phone camera look, imperfect composition. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: ring; marquise-cut; 5-6ct; yellow gold; tapered side stones; cushion-cut softness; wearing area: finger; silhouette: soft romantic profile; texture: clear individual stones, natural refraction, true metal reflection, physically plausible setting. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; marquise-cut; 5-6ct; yellow gold; tapered side stones; cushion-cut softness; wearing area: finger; silhouette: soft romantic profile; texture: clear individual stones, natural refraction, true metal reflection, physically plausible setting|luxury travel shopper|40s|warm tan skin, copper hair|travel lounge cashmere set|hotel breakfast lounge|casual phone/selfie behavior|soft foreground layering|mirror selfie perspective"
set-008-necklace,necklace,solitaire pendant,wealthy customer,40s,"warm tan skin, copper hair",cashmere sweater,high-end hotel lobby or corridor,soft laughing moment,table-level candid framing,normal,seated across-the-table shot,"Full-body candid framework. Product DNA: necklace; single pendant stone; statement dinner scale; white gold; delicate V contour; solitaire pendant; wearing area: neck / collarbone; silhouette: collarbone line; texture: realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones. Persona direction: wealthy customer, 40s, warm tan skin, copper hair. Outfit direction: cashmere sweater. Scene frame: high-end hotel lobby or corridor. Action frame: soft laughing moment. Composition frame: table-level candid framing. Lens frame: seated across-the-table shot. Low-AI feel: real skin texture, normal background clutter, relaxed expression. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: necklace; single pendant stone; statement dinner scale; white gold; delicate V contour; solitaire pendant; wearing area: neck / collarbone; silhouette: collarbone line; texture: realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones. Persona direction: wealthy customer, 40s, warm tan skin, copper hair. Outfit direction: cashmere sweater. Scene frame: high-end hotel lobby or corridor. Action frame: soft laughing moment. Composition frame: table-level candid framing. Lens frame: seated across-the-table shot. Low-AI feel: real skin texture, normal background clutter, relaxed expression. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: necklace; single pendant stone; statement dinner scale; white gold; delicate V contour; solitaire pendant; wearing area: neck / collarbone; silhouette: collarbone line; texture: realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","necklace|necklace; single pendant stone; statement dinner scale; white gold; delicate V contour; solitaire pendant; wearing area: neck / collarbone; silhouette: collarbone line; texture: realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones|wealthy customer|40s|warm tan skin, copper hair|cashmere sweater|high-end hotel lobby or corridor|soft laughing moment|table-level candid framing|seated across-the-table shot"
set-009-ring,ring,platinum high-jewelry setting,downtown cool girl with high-end taste,late 20s,"fair skin, platinum blonde hair",street-style denim with luxury coat,art gallery opening,private transit moment,subject not always looking at camera,normal,normal handheld camera angle,"Full-body candid framework. Product DNA: ring; cushion-cut; 4-5ct; white gold; bezel detail; platinum high-jewelry setting; wearing area: finger; silhouette: architectural center profile; texture: natural refraction, true metal reflection, physically plausible setting, clear individual stones. Persona direction: downtown cool girl with high-end taste, late 20s, fair skin, platinum blonde hair. Outfit direction: street-style denim with luxury coat. Scene frame: art gallery opening. Action frame: private transit moment. Composition frame: subject not always looking at camera. Lens frame: normal handheld camera angle. Low-AI feel: natural posture, not overly retouched, casually wealthy. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: ring; cushion-cut; 4-5ct; white gold; bezel detail; platinum high-jewelry setting; wearing area: finger; silhouette: architectural center profile; texture: natural refraction, true metal reflection, physically plausible setting, clear individual stones. Persona direction: downtown cool girl with high-end taste, late 20s, fair skin, platinum blonde hair. Outfit direction: street-style denim with luxury coat. Scene frame: art gallery opening. Action frame: private transit moment. Composition frame: subject not always looking at camera. Lens frame: normal handheld camera angle. Low-AI feel: natural posture, not overly retouched, casually wealthy. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: ring; cushion-cut; 4-5ct; white gold; bezel detail; platinum high-jewelry setting; wearing area: finger; silhouette: architectural center profile; texture: natural refraction, true metal reflection, physically plausible setting, clear individual stones. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; cushion-cut; 4-5ct; white gold; bezel detail; platinum high-jewelry setting; wearing area: finger; silhouette: architectural center profile; texture: natural refraction, true metal reflection, physically plausible setting, clear individual stones|downtown cool girl with high-end taste|late 20s|fair skin, platinum blonde hair|street-style denim with luxury coat|art gallery opening|private transit moment|subject not always looking at camera|normal handheld camera angle"
set-010-ring,ring,platinum high-jewelry setting,fashion content creator,late 20s,"fair skin, platinum blonde hair",minimal monochrome outfit,rooftop dinner environment,travel pause,product visible but not centered,mild,slight low angle,"Full-body candid framework. Product DNA: ring; round brilliant; 2-3ct; rose gold; cathedral profile; platinum high-jewelry setting; wearing area: finger; silhouette: clean center-stone profile; texture: controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets. Persona direction: fashion content creator, late 20s, fair skin, platinum blonde hair. Outfit direction: minimal monochrome outfit. Scene frame: rooftop dinner environment. Action frame: travel pause. Composition frame: product visible but not centered. Lens frame: slight low angle. Low-AI feel: phone camera look, imperfect composition, real skin texture. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: ring; round brilliant; 2-3ct; rose gold; cathedral profile; platinum high-jewelry setting; wearing area: finger; silhouette: clean center-stone profile; texture: controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets. Persona direction: fashion content creator, late 20s, fair skin, platinum blonde hair. Outfit direction: minimal monochrome outfit. Scene frame: rooftop dinner environment. Action frame: travel pause. Composition frame: product visible but not centered. Lens frame: slight low angle. Low-AI feel: phone camera look, imperfect composition, real skin texture. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: ring; round brilliant; 2-3ct; rose gold; cathedral profile; platinum high-jewelry setting; wearing area: finger; silhouette: clean center-stone profile; texture: controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; round brilliant; 2-3ct; rose gold; cathedral profile; platinum high-jewelry setting; wearing area: finger; silhouette: clean center-stone profile; texture: controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets|fashion content creator|late 20s|fair skin, platinum blonde hair|minimal monochrome outfit|rooftop dinner environment|travel pause|product visible but not centered|slight low angle"
